,question,answer,answer_context
5824,"How long do you need the access for? (Specify duration in days, weeks, or months)",ongoing,Employee: I'll need it on an ongoing basis going forward.
5825,Are there specific resources or areas you need access to? (Please specify),file servers,Employee: I need access to the file servers. 
5826,"What is your current security clearance status, if applicable?",3,"Employee: My security clearance level is 3. My name is Jordan Casey, my email is jordan.casey@email.com and my phone number is +1-555-0234."
5827,"Please provide your contact information (Name, Email, Phone).",+1-555-0234,"Employee: My security clearance level is 3. My name is Jordan Casey, my email is jordan.casey@email.com and my phone number is +1-555-0234."
5828,"What level of access do you require? (e.g., Full, Read-Only, Limited)",full system access,Employee: I need full system access.
5829,"What type of access are you requesting? (e.g., System, Building, Document)",full system access,Employee: I need full system access.
5830,What is the purpose of this access request?,It will be used for my work tasks,Employee: It will be used for my work tasks.
5831,Please provide your employee or user identification number.,JC123,Employee: My employee ID number is JC123.
5832,Are there any additional notes or comments related to this access request?,"No, there's no other notes","Employee: No, there's no other notes.  "
5833,Have you had access to these resources or areas before? (Please describe),"Yes, I've had access to the same resources previously","Employee: Yes, I've had access to the same resources previously. I have approval from my supervisor John Smith."
5834,Do you have approval from your supervisor or a relevant authority? (Name of approver),supervisor,"Employee: Yes, I've had access to the same resources previously. I have approval from my supervisor John Smith."
5835,"What are your housing requirements at the destination? (e.g., Size, Type, Special Needs)",A house would be best for my family of two,Employee: A house would be best for my family of two. We'll be relocating permanently.
5836,Is this relocation temporary or permanent?,permanently,Employee: A house would be best for my family of two. We'll be relocating permanently.
5837,How many individuals will be relocating with you? (Enter a number),Two,"Employee: Two individuals including myself will be relocating. My name is Dr. Li Wei, you can reach me at my email or by phone."
5838,"Please provide your contact information for coordination (Name, Email, Phone).",Dr. Li Wei,"Employee: Two individuals including myself will be relocating. My name is Dr. Li Wei, you can reach me at my email or by phone."
5839,"What is your current location? (City, State/Province, Country)",San Francisco,Employee: I'm currently located in San Francisco.
5840,When do you wish to relocate? (Enter the date in YYYY-MM-DD format),"June 1st, 2023","Employee: June 1st, 2023 would work best. I don't require any specific transportation assistance."
5841,"Do you have any specific transportation needs for the relocation? (e.g., Vehicle transport, Flight arrangements)",I don't require any specific transportation assistance,"Employee: June 1st, 2023 would work best. I don't require any specific transportation assistance."
5842,What is your budget limit for the relocation? (Enter the amount in your local currency),"$150,000 USD","Employee: My budget limit is $150,000 USD."
5843,"Do you need packing and moving services? (e.g., Full-service, Self-pack)","Yes, full","Employee: Yes, full packing and moving services would be appreciated. I won't need help finding employment as this is an internal job transfer."
5844,"Do you require employment assistance in the new location? (e.g., Job search, Transferring within company)",I won't need help finding employment,"Employee: Yes, full packing and moving services would be appreciated. I won't need help finding employment as this is an internal job transfer."
5845,"What is your destination location? (City, State/Province, Country)",not sure of the exact destination yet,Employee: I'm not sure of the exact destination yet as it's for a job transfer. The primary reason for relocating is a new position within the company.
5846,"What is the primary reason for your relocation? (e.g., Job transfer, Family, Education)",a new position within the company,Employee: I'm not sure of the exact destination yet as it's for a job transfer. The primary reason for relocating is a new position within the company.
